H6_sample,Replication.Number.of.Total.Responses,Ticks,Shame,Bankrupt,Money,Sentiment
0.457829931,1,15001,2.22237189,0,2521299.953,-316316.2589
0.567523852,2,15001,1.552609184,0,4036760.999,-316264.3705
0.641381623,3,15001,2.475119782,0,4000719.084,-357523.8126
0.242712925,4,15001,2.489412292,0,4764717.651,-334585.9727
0.953341789,5,15001,2.201391015,0,6568646.073,-404751.9204
0.160598327,6,15001,2.125844943,0,2709091.298,-313746.8958
0.209358242,7,15001,2.446568757,0,4949457.737,-327234.2491
0.520086726,8,15001,1.452905567,0,4543669.03,-244319.549
0.016708595,9,15001,1.379420972,0,2803547.104,-178433.5744
0.17045314,10,15001,2.694207457,0,3705247.874,-281127.7501
0.078859581,11,15001,2.683121907,0,1949611.16,-232843.8919
0.281033437,12,15001,2.322909322,0,3535394.855,-328771.6354
0.276973485,13,15001,1.798991203,0,2716247.272,-248521.8943
0.098209406,14,15001,1.592665195,0,5480063.607,-233851.608
0.005907646,15,15001,2.001938908,0,1748006.712,-213590.6777
0.40801579,16,15001,2.167400142,0,2134788.578,-298854.9809
0.072577162,17,15001,2.590708655,0,4599723.799,-339412.3301
0.175454185,18,15001,2.878188295,0,3216552.209,-313067.4671
0.287029054,19,15001,1.276945733,0,77541511.3,-335744.1251
0.36315724,20,15001,2.35741876,0,9097932.781,-394420.8882
