"","who","xcor","ycor","agent.shame","bankrupt"
"1",0,-5,10,0,FALSE
"2",1,6,-12,0,FALSE
"3",2,-14,-1,0,FALSE
"4",3,-13,6,0,FALSE
"5",4,4,13,0,FALSE
"6",5,-10,0,0,FALSE
"7",6,-15,0,0,FALSE
"8",7,-4,7,0,FALSE
"9",8,3,0,0,FALSE
"10",9,-8,14,0,FALSE
"11",10,-5,12,0,FALSE
"12",11,-6,-10,0,FALSE
"13",12,6,-3,0,FALSE
"14",13,-2,14,0,FALSE
"15",14,2,-10,0,FALSE
"16",15,-14,-6,0,FALSE
"17",16,-6,-16,0,FALSE
"18",17,-4,0,0,FALSE
"19",18,-8,-9,0,FALSE
"20",19,-7,9,0,FALSE
"21",20,16,-2,0,FALSE
"22",21,9,11,0,FALSE
"23",22,16,9,0,FALSE
"24",23,-11,0,0,FALSE
"25",24,2,6,0,TRUE
"26",25,0,12,0,FALSE
"27",26,12,4,0,FALSE
"28",27,0,5,0,FALSE
"29",28,1,-10,0,FALSE
"30",29,-2,3,0,TRUE
"31",30,9,8,0,FALSE
"32",31,7,13,0,FALSE
"33",32,-15,5,0,FALSE
"34",33,-2,-1,0,FALSE
"35",34,12,-5,0,FALSE
"36",35,6,5,0,FALSE
"37",36,12,0,0,FALSE
"38",37,-9,10,0,FALSE
"39",38,-16,-12,0,TRUE
"40",39,16,-1,0,FALSE
"41",40,3,-13,0,FALSE
"42",41,13,16,0,FALSE
"43",42,12,-13,0,FALSE
