taxation,Replication.Number.of.Total.Responses,Ticks,Shame,Money,Sentiment,Company.Wins,Successful.Bets,Successful.Bets.Made
90.86382127,1,5001,0.881947519,1965560.353,-35414.9275,-448144.2997,-48684,65496
,,,,,,,,
taxation.1,Replication.Number.of.Total.Responses.1,Ticks.1,Shame.1,Money.1,Sentiment.1,Company.Wins.1,Successful.Bets.1,Successful.Bets.Made.1
86.48827248,2,5001,1.074822253,1128014.697,-45936.51632,1134926.965,-55237,71771
,,,,,,,,
taxation.2,Replication.Number.of.Total.Responses.2,Ticks.2,Shame.2,Money.2,Sentiment.2,Company.Wins.2,Successful.Bets.2,Successful.Bets.Made.2
92.67519048,3,5001,0.889052715,1604857.196,-46128.39495,288843.8775,-56165,74079
,,,,,,,,
taxation.3,Replication.Number.of.Total.Responses.3,Ticks.3,Shame.3,Money.3,Sentiment.3,Company.Wins.3,Successful.Bets.3,Successful.Bets.Made.3
92.97912875,4,5001,0.899042241,7012434.787,-49746.70419,-4464382.691,-67957,92533
,,,,,,,,
taxation.4,Replication.Number.of.Total.Responses.4,Ticks.4,Shame.4,Money.4,Sentiment.4,Company.Wins.4,Successful.Bets.4,Successful.Bets.Made.4
90.16947033,5,5001,0.956443077,1757165.685,-43386.95236,-304420.1304,-52913,70997
,,,,,,,,
taxation.5,Replication.Number.of.Total.Responses.5,Ticks.5,Shame.5,Money.5,Sentiment.5,Company.Wins.5,Successful.Bets.5,Successful.Bets.Made.5
89.63878409,6,5001,1.028906613,3145147.807,-38680.15473,-1447244.786,-52588,71204
,,,,,,,,
taxation.6,Replication.Number.of.Total.Responses.6,Ticks.6,Shame.6,Money.6,Sentiment.6,Company.Wins.6,Successful.Bets.6,Successful.Bets.Made.6
88.7388236,7,5001,1.306791209,1109204.317,-45228.17417,916966.9599,-56462,74312
,,,,,,,,
taxation.7,Replication.Number.of.Total.Responses.7,Ticks.7,Shame.7,Money.7,Sentiment.7,Company.Wins.7,Successful.Bets.7,Successful.Bets.Made.7
97.32499658,8,5001,1.122268574,927005.8088,-37235.61886,885340.3294,-48711,64077
,,,,,,,,
taxation.8,Replication.Number.of.Total.Responses.8,Ticks.8,Shame.8,Money.8,Sentiment.8,Company.Wins.8,Successful.Bets.8,Successful.Bets.Made.8
80.62140081,9,5001,1.0128826,1081577.767,-41973.26607,668619.6588,-53167,70479
,,,,,,,,
taxation.9,Replication.Number.of.Total.Responses.9,Ticks.9,Shame.9,Money.9,Sentiment.9,Company.Wins.9,Successful.Bets.9,Successful.Bets.Made.9
87.84874893,10,5001,0.842191539,772611.6485,-39506.77241,1160827.515,-49098,64526
