H6_sample,Replication.Number.of.Total.Responses,Ticks,Shame,Bankrupt,Money,Sentiment
0.457829931,1,15001,2.22237189,0,2521299.953,-316316.2589
,,,,,,
H6_sample.1,Replication.Number.of.Total.Responses.1,Ticks.1,Shame.1,Bankrupt.1,Money.1,Sentiment.1
0.567523852,2,15001,1.552609184,0,4036760.999,-316264.3705
,,,,,,
H6_sample.2,Replication.Number.of.Total.Responses.2,Ticks.2,Shame.2,Bankrupt.2,Money.2,Sentiment.2
0.641381623,3,15001,2.475119782,0,4000719.084,-357523.8126
,,,,,,
H6_sample.3,Replication.Number.of.Total.Responses.3,Ticks.3,Shame.3,Bankrupt.3,Money.3,Sentiment.3
0.242712925,4,15001,2.489412292,0,4764717.651,-334585.9727
,,,,,,
H6_sample.4,Replication.Number.of.Total.Responses.4,Ticks.4,Shame.4,Bankrupt.4,Money.4,Sentiment.4
0.953341789,5,15001,2.201391015,0,6568646.073,-404751.9204
,,,,,,
H6_sample.5,Replication.Number.of.Total.Responses.5,Ticks.5,Shame.5,Bankrupt.5,Money.5,Sentiment.5
0.160598327,6,15001,2.125844943,0,2709091.298,-313746.8958
,,,,,,
H6_sample.6,Replication.Number.of.Total.Responses.6,Ticks.6,Shame.6,Bankrupt.6,Money.6,Sentiment.6
0.209358242,7,15001,2.446568757,0,4949457.737,-327234.2491
,,,,,,
H6_sample.7,Replication.Number.of.Total.Responses.7,Ticks.7,Shame.7,Bankrupt.7,Money.7,Sentiment.7
0.520086726,8,15001,1.452905567,0,4543669.03,-244319.549
,,,,,,
H6_sample.8,Replication.Number.of.Total.Responses.8,Ticks.8,Shame.8,Bankrupt.8,Money.8,Sentiment.8
0.016708595,9,15001,1.379420972,0,2803547.104,-178433.5744
,,,,,,
H6_sample.9,Replication.Number.of.Total.Responses.9,Ticks.9,Shame.9,Bankrupt.9,Money.9,Sentiment.9
0.17045314,10,15001,2.694207457,0,3705247.874,-281127.7501
,,,,,,
H6_sample.10,Replication.Number.of.Total.Responses.10,Ticks.10,Shame.10,Bankrupt.10,Money.10,Sentiment.10
0.078859581,11,15001,2.683121907,0,1949611.16,-232843.8919
,,,,,,
H6_sample.11,Replication.Number.of.Total.Responses.11,Ticks.11,Shame.11,Bankrupt.11,Money.11,Sentiment.11
0.281033437,12,15001,2.322909322,0,3535394.855,-328771.6354
,,,,,,
H6_sample.12,Replication.Number.of.Total.Responses.12,Ticks.12,Shame.12,Bankrupt.12,Money.12,Sentiment.12
0.276973485,13,15001,1.798991203,0,2716247.272,-248521.8943
,,,,,,
H6_sample.13,Replication.Number.of.Total.Responses.13,Ticks.13,Shame.13,Bankrupt.13,Money.13,Sentiment.13
0.098209406,14,15001,1.592665195,0,5480063.607,-233851.608
,,,,,,
H6_sample.14,Replication.Number.of.Total.Responses.14,Ticks.14,Shame.14,Bankrupt.14,Money.14,Sentiment.14
0.005907646,15,15001,2.001938908,0,1748006.712,-213590.6777
,,,,,,
H6_sample.15,Replication.Number.of.Total.Responses.15,Ticks.15,Shame.15,Bankrupt.15,Money.15,Sentiment.15
0.40801579,16,15001,2.167400142,0,2134788.578,-298854.9809
,,,,,,
H6_sample.16,Replication.Number.of.Total.Responses.16,Ticks.16,Shame.16,Bankrupt.16,Money.16,Sentiment.16
0.072577162,17,15001,2.590708655,0,4599723.799,-339412.3301
,,,,,,
H6_sample.17,Replication.Number.of.Total.Responses.17,Ticks.17,Shame.17,Bankrupt.17,Money.17,Sentiment.17
0.175454185,18,15001,2.878188295,0,3216552.209,-313067.4671
,,,,,,
H6_sample.18,Replication.Number.of.Total.Responses.18,Ticks.18,Shame.18,Bankrupt.18,Money.18,Sentiment.18
0.287029054,19,15001,1.276945733,0,77541511.3,-335744.1251
,,,,,,
H6_sample.19,Replication.Number.of.Total.Responses.19,Ticks.19,Shame.19,Bankrupt.19,Money.19,Sentiment.19
0.36315724,20,15001,2.35741876,0,9097932.781,-394420.8882
